,judul,tanggal,link
124,"[SALAH] Vaksin Berbasis mRna, Dapat Menyebabkan Kanker","Sumber: 
                     
                        artikel
 Tanggal publish: 25/03/2021",https://cekfakta.com/focus/6590
125,[SALAH] Tentara Angkatan Laut Australia Mengalami Efek Samping Parah setelah Divaksin Covid-19,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 23/03/2021",https://cekfakta.com/focus/6577
126,[SALAH] Pengumuman Jadwal Vaksinasi untuk Umum di Wilayah Jawa Barat Maret 2021 oleh Gubernur,"Sumber: 
                    whatsapp.com                                             Tanggal publish: 22/03/2021",https://cekfakta.com/focus/6561
127,[SALAH] Vaksin Covid-19 Sirup untuk yang Takut Disuntik,"Sumber: 
                    Facebook                                             Tanggal publish: 22/03/2021",https://cekfakta.com/focus/6560
128,[SALAH] 17 Negara Melarang Penyebaran Vaksin AstraZeneca,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 21/03/2021",https://cekfakta.com/focus/6551
129,[SALAH] Foto Botol Vaksin Kadrun,"Sumber: 
                    Facebook                                             Tanggal publish: 20/03/2021",https://cekfakta.com/focus/6550
130,[SALAH] Pesan Berantai Berisi Grafik Kadar Antibodi usai Divaksin Covid-19,"Sumber: 
                    WhatsApp                                             Tanggal publish: 19/03/2021",https://cekfakta.com/focus/6547
131,[SALAH] Pesan Berantai Informasi Vaksin Covid-19 Paling Aman dari Artikel New York Times,"Sumber: 
                    WhatsApp                                             Tanggal publish: 18/03/2021",https://cekfakta.com/focus/6542
132,[SALAH] Tidak Ada Kasus Covid-19 di Bhutan karena Penduduknya Vegetarian,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 16/03/2021",https://cekfakta.com/focus/6535
133,[SALAH] Vaksin Sinovac Kadaluwarsa 25 Maret 2021 dan Dibuat Sebelum Pandemi,"Sumber: 
                     
                        twitter.com
 Tanggal publish: 16/03/2021",https://cekfakta.com/focus/6534
134,[SALAH] Vaksinasi Covid-19 untuk Warga Non DKI Jakarta di Istora Senayan,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 14/03/2021",https://cekfakta.com/focus/6525
135,"[SALAH] “Vaksin Sinovac, Vaksin yg sebenarnya di peruntukkan untuk ayam”","Sumber: 
                     
                        facebook.com
 Tanggal publish: 13/03/2021",https://cekfakta.com/focus/6514
136,[SALAH] Rusia Menemukan bahwa Covid-19 Tidak Disebabkan oleh Virus,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 12/03/2021",https://cekfakta.com/focus/6513
137,[SALAH] Rebusan Daun Jambu Biji Dicampur Cuka Bisa Bunuh Virus Covid-19,"Sumber: 
                    Twitter                                             Tanggal publish: 12/03/2021",https://cekfakta.com/focus/6512
138,[SALAH] Sentra Vaksinasi Covid-19 Istora Senayan Terbuka untuk Semua Pemegang KTP,"Sumber: 
                    WhatsApp                                             Tanggal publish: 12/03/2021",https://cekfakta.com/focus/6511
139,"[SALAH] Bio Farma Mengadakan Vaksinasi Covid-19 pada Jumat, 12 Maret 2021","Sumber: 
                    whatsapp.com                                             Tanggal publish: 12/03/2021",https://cekfakta.com/focus/6504
140,[SALAH] Vaksin Sinovac berisikan Virus Hidup yang dilemahkan serta mengandung Sel Vero dan Bahan-Bahan Berbahaya,"Sumber: 
                     
                        facebook.com
 Tanggal publish: 11/03/2021",https://cekfakta.com/focus/6499
